"rank","name","key","vendor","installs","downloads","reviews","stars","last_modified","release_date","cloud_version_found","min_annual_price_usd","price_500_users_usd","price_2000_users_usd","tagline","marketplace_url","seller_status","paid_customers","revenue","asking_price","transfer_interest"
"1","Switch User (SU) for Jira","com.dolby.atlassian.jira.jirasu","The Plugin People","491","45674","26","4.9038463","2026-07-03T15:20:42.582Z","2026-07-03","false","50","600","1250","Be the user you seek","https://marketplace.atlassian.com/apps/5043/switch-user-su-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"2","Power Database Fields","com.keplerrominfo.jira.plugins.databasecf","Appfire","445","65248","59","4.4915257","2026-05-12T12:49:04.583Z","2026-05-12","false","350","4750","8600","Import and display data from any database in dynamic custom fields inside Jira","https://marketplace.atlassian.com/apps/630415/power-database-fields?tab=overview","unknown","unknown","unknown","unknown","unknown"
"3","Great Gadgets for Jira DC (Agile Charts Reports KPIs)","com.stonikbyte.great.gadgets.server","StonikByte","412","25889","15","4.9166665","2026-07-03T13:28:52.611Z","2026-07-03","false","550","2100","3700","Dashboard gadgets for Scrum, Kanban, Release & ITSM: burndown/burnup, velocity, cycle time/SLA, pivot table, forecast, CFD & more","https://marketplace.atlassian.com/apps/1218777/great-gadgets-for-jira-dc-agile-charts-reports-kpis?tab=overview","unknown","unknown","unknown","unknown","unknown"
"4","Notifications in Jira (Desktop and Icon Alerts)","com.infosysta.jira.in-app-and-desktop-notifications-for-jira","Infosysta Apps","411","22895","18","4.0277777","2026-07-10T11:04:26.124Z","2026-07-10","false","200","1000","1400","There's no more need for email notifications. You can now view, approve and comment on issues straight from your Jira notification","https://marketplace.atlassian.com/apps/1217434/notifications-in-jira-desktop-and-icon-alerts?tab=overview","unknown","unknown","unknown","unknown","unknown"
"5","Structure.Pages by Tempo - Add Confluence Pages to Structure","com.almworks.structure.pages","Tempo Software","400","24240","3","5","2026-01-26T11:12:39.865Z","2026-01-22","false","428","2101","3190","Bridge the Gap Between Requirements Management in Confluence Cloud and Task Execution in Jira","https://marketplace.atlassian.com/apps/1215242/structure-pages-by-tempo-add-confluence-pages-to-structure?tab=overview","unknown","unknown","unknown","unknown","unknown"
"6","Q Collapse for Jira Service Management","at.celix.jira.plugins.servicedesk-queue-collapse","celix Solutions GmbH","396","16020","21","4.285714","2025-12-11T11:50:53.351Z","2025-09-25","false","450","1500","3000","Multi-level Queue Structures for a better overview","https://marketplace.atlassian.com/apps/1214767/q-collapse-for-jira-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"7","Prometheus Exporter PRO for Jira","ru.andreymarkelov.atlas.plugins.prom-jira-exporter","Appfire","392","25814","11","4.7727275","2026-04-06T13:19:54.365Z","2026-04-06","false","475","3900","5500","Get your Jira metrics to Prometheus and analyze your instance health in real time","https://marketplace.atlassian.com/apps/1217960/prometheus-exporter-pro-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"8","Search Linked Issues","org.craftforge.jira.craftforge-jql-functions-plugin","Addonrock Sp. z o.o.","379","41810","33","3.7878788","2025-12-11T10:59:26.306Z","2025-10-03","false","330","2200","4950","JQL functions for issue link searching including parent, subtask, epic links; advanced link visualization with new custom fields","https://marketplace.atlassian.com/apps/31601/search-linked-issues?tab=overview","unknown","unknown","unknown","unknown","unknown"
"9","API Token Authentication for Jira expand connection security","de.resolution.apitokenauth.jira","resolution Reichert Network Solutions GmbH","375","36599","12","5","2026-07-02T17:45:58.988Z","2026-06-15","false","100","650","1215","Increase security for Jira REST API data connections from external services with API Tokens instead of username & passwords","https://marketplace.atlassian.com/apps/1221586/api-token-authentication-for-jira-expand-connection-security?tab=overview","unknown","unknown","unknown","unknown","unknown"
"10","mO 2FA for Jira (Two Factor Authentication)","com.miniorange.twofactor.jira-twofactor","miniOrange","369","19744","55","4.9545455","2026-06-25T10:05:36.941Z","2026-06-25","false","1200","3000","4800","Jira 2FA for Data Center: Secure login with Jira Two Factor Authentication (2FA/MFA)- Google Authenticator (TOTP), Hardware Token","https://marketplace.atlassian.com/apps/1221260/mo-2fa-for-jira-two-factor-authentication?tab=overview","unknown","unknown","unknown","unknown","unknown"
